Pesticide,Description,Type
copper and pyrethrins,"one-step control for many insect attacks and fungal problems. For best results, cover both the tops and undersides of leaves with a thin uniform film or dust. Depending on foliage density, 10 oz will cover 625 sq ft. Repeat applications every 7-10 days, as needed.",Pesticide
serenade garden,"Serenade Garden contains a patented strain of Bacillus subtilis. Provides protection against many of the most common fungal and bacterial garden diseases (see label). Now you can grow beautiful disease-free fruits, vegetables and flowers – without chemicals that can be harmful to people or the environment. It is so safe you can confidently harvest and eat fruits and vegetables the very same day they are treated.",Pesticide
"zampro (ametoctradin + dimethomorph, basf)","Provide control of late blight in potatoes, but are most effective when applied prior to the onset of late blight and should be mixed with a protectant partner",Pesticide
"ranman (cyazofamid, fmc)","Provide excellent control of late blight in potatoes, but are most effective when applied prior to the onset of late blight and should be mixed with a protectant partner",Pesticide
"revus top (mandipropamid + difenoconazole, syngenta)","Provide excellent control of late blight in potatoes, but are most effective when applied prior to the onset of late blight and should be mixed with a protectant partner",Pesticide
baking soda,"This is possibly the best known of the home-made, organic solutions for powdery mildew. Although studies indicate that baking soda alone is not all that effective, when combined with horticultural grade or dormant oil and liquid soap, efficacy is very good if applied in the early stages or before an outbreak occurs.",Organic
potassium bicarbonate,"Potassium bicarbonate is a contact fungicide which kills the powdery mildew spores quickly. In addition, it’s approved for use in organic growing.",Organic
pristine (pyraclostrobin and boscalid),"This fungicide is a very broad-spectrum material and has excellent activity against leaf spots, powdery mildew, and fruit rots, including Botrytis gray mold. It is surface-systemic (i.e., it is somewhat mobile within the wax layer on the plant surface) and has limited back action. The fungicide gets rainfast quickly.",Fungicide
cabrio (pyraclostrobin),"Pyraclostrobin is a strobilurin-type fungicide with excellent broad-spectrum activity against leaf spots, powdery mildew and fruit rots . However, it does not provide much control of Botrytis gray mold. It is surface-systemic and has limited back action. The fungicide gets rainfast quickly.",Fungicide
abound(azoxystrobin),"Abound (azoxystrobin) is also a strobilurin-type fungicide with good to excellent broad-spectrum activity against leaf spots, powdery mildew and fruit rots. It does not have much activity against Botrytis gray mold. It is surface-systemic and has limited back action. The fungicide gets rainfast quickly.",Fungicide
copper bactericides ,Copper bactericides used in combination with mancozebprovides control of many copper-tolerant strains.,Fungicide
actigard,"The plant inducer, Actigard®(a systemic compound containing the active ingredient acibenzolar-S-methy), provides significant disease control. ",Pesticide
bacteriophages,Bacteriophages with specificity to the target bacterial strains provide significant control.,Pesticide
maneb,Maneb is a fungicide and a polymeric complex of manganese with the ethylene bis(dithiocarbamate) anionic ligand.,Fungicide
mancozeb,"Mancozeb is a dithiocarbamate non-systemic agricultural fungicide with multi-site, protective action on contact. It is a combination of two other dithiocarbamates: maneb and zineb.[1]The mixture controls many fungal diseases in a wide range of field crops, fruits, nuts, vegetables, and ornamentals. It is marketed as Penncozeb, Trimanoc, Vondozeb, Dithane, Manzeb, Nemispot, and Manzane.",Pesticide
abamectin,"Abamectin is a natural fermentation product of this bacterium . Abamectin is used to control insect and mite pests of a range of agronomic, fruit, vegetable and ornamental crops, and it is used by homeowners for control of fire ants",Pesticide
bifenazate,Bifenazate is a chemical compound from the group of carbazates and hydrazine carboxylic acid esters .,Pesticide
hexythiazox,Hexythiazox is a mixture of four stereoisomeric chemical compounds from the group of thiazolidines and carboxamides .,Pesticide
"
headline ec","Headline is to be applied at 400-600 mL per/hectacre (ha). For optimal disease control, begin applications prior to disease development (see Disease Cycle). This fungicide can only be applied a maximum of 2 applications/year. Ground and aerial application are both acceptable",Fungicide
quilt,"Quilt is to be applied at 0.75-1.0 L per/ha. Application of Quilt is to be made upon first appearance of disease, followed by a second application 14 days after, if environmental conditions are favorable for disease development (see Disease Cycle). Upon browning of corn sheaths, Quilt is not to be applied. This fungicide can only be applied a maximum 2 applications/yr. Ground and aerial application are both acceptable.",Fungicide
proline 480 sc,Proline 480 SC is to be applied at 420 mL per/ha. This fungicide can only be applied a maximum 1 time/year. It should be note that only ground application is acceptable. A 24-hour re-entry time is required (minimum amount of time that must pass between the time a fungicide is applied to an area or crop and the time that people can go into that area without protective clothing and equipment).,Fungicide
dinotefuran,"Dinotefuran acts through contact and ingestion and results in the cessation of feeding within several hours of contact and death shortly after. Dinotefuran does not inhibit cholinesterase or interfere with sodium channels. Therefore, its mode of action is different from those of organophosphate, carbamate, and pyrethroid compounds.",Insecticide
imidacloprid,Imidacloprid is a systemic insecticide that acts as an insect neurotoxin and belongs to a class of chemicals called the neonicotinoids which act on the central nervous system of insects. The chemical works by interfering with the transmission of stimuli in the insect nervous system.,Insecticide
thiamethoxam,Thiamethoxam is a systemic insecticide in the class of neonicotinoids. It has a broad spectrum of activity against many types of insects. ,Insecticide
